file,obj,x,y
221106VIU_0072.fits,UCAC3296-11711,2634.431,1723.212
221106VIU_0072.fits,UCAC3296-11655,2782.47,1389.67
221106VIU_0072.fits,CGCS68,2973.448,1855.563
221106VIU_0073.fits,V1301Cas,1928.524,2125.15
221106VIU_0073.fits,UCAC3296-11711,2632.533,1722.677
221106VIU_0073.fits,UCAC3296-11655,2783.452,1391.641
221106VIU_0073.fits,CGCS68,2974.751,1856.432
221106VIU_0074.fits,V1301Cas,1928.599,2126.314
221106VIU_0074.fits,UCAC3296-11711,2632.323,1724.772
221106VIU_0074.fits,UCAC3296-11655,2783.882,1392.947
221106VIU_0074.fits,CGCS68,2974.375,1856.926
221106VIU_0075.fits,V1301Cas,1929.806,2127.823
221106VIU_0075.fits,UCAC3296-11711,2633.065,1727.818
221106VIU_0075.fits,UCAC3296-11655,2783.372,1394.166
221106VIU_0075.fits,CGCS68,2972.866,1860.546
221106VIU_0076.fits,V1301Cas,1927.694,2131.141
221106VIU_0076.fits,UCAC3296-11711,2632.703,1732.162
221106VIU_0076.fits,UCAC3296-11655,2784.214,1398.884
221106VIU_0076.fits,CGCS68,2974.003,1863.903
221106VIU_0077.fits,V1301Cas,1928.031,2133.93
221106VIU_0077.fits,UCAC3296-11711,2630.51,1734.612
221106VIU_0077.fits,UCAC3296-11655,2781.978,1404.416
221106VIU_0077.fits,CGCS68,2971.107,1866.799
221106VIU_0078.fits,V1301Cas,1920.791,2140.446
221106VIU_0078.fits,UCAC3296-11711,2625.382,1738.533
221106VIU_0078.fits,UCAC3296-11655,2775.957,1406.901
221106VIU_0078.fits,CGCS68,2967.331,1871.931
221106VIU_0079.fits,V1301Cas,1920.067,2141.894
221106VIU_0079.fits,UCAC3296-11711,2624.95,1741.738
221106VIU_0079.fits,UCAC3296-11655,2775.196,1410.098
221106VIU_0079.fits,CGCS68,2963.349,1873.016
221106VIU_0080.fits,V1301Cas,1916.809,2144.066
221106VIU_0080.fits,UCAC3296-11711,2621.644,1740.941
221106VIU_0080.fits,UCAC3296-11655,2771.339,1408.674
221106VIU_0080.fits,CGCS68,2962.566,1874.993
221106VIU_0081.fits,V1301Cas,1912.103,2146.238
221106VIU_0081.fits,UCAC3296-11711,2616.998,1742.801
221106VIU_0081.fits,UCAC3296-11655,2766.076,1414.203
221106VIU_0081.fits,CGCS68,2958.544,1880.271
221106VIU_0082.fits,V1301Cas,1911.741,2148.048
221106VIU_0082.fits,UCAC3296-11711,2615.188,1750.041
221106VIU_0082.fits,UCAC3296-11655,2765.819,1416.936
221106VIU_0082.fits,CGCS68,2956.317,1880.55
221106VIU_0083.fits,V1301Cas,1908.339,2156.156
221106VIU_0083.fits,UCAC3296-11711,2613.664,1752.208
221106VIU_0083.fits,UCAC3296-11655,2763.337,1420.524
221106VIU_0083.fits,CGCS68,2953.3,1885.678
221106VIU_0084.fits,V1301Cas,1903.56,2157.025
221106VIU_0084.fits,UCAC3296-11711,2607.51,1755.465
221106VIU_0084.fits,UCAC3296-11655,2758.928,1423.206
221106VIU_0084.fits,CGCS68,2948.989,1887.786
221106VIU_0085.fits,V1301Cas,1899.216,2159.632
221106VIU_0085.fits,UCAC3296-11711,2603.812,1758.815
221106VIU_0085.fits,UCAC3296-11655,2753.848,1424.713
221106VIU_0085.fits,CGCS68,2945.731,1892.13
221106VIU_0086.fits,V1301Cas,1896.176,2161.803
221106VIU_0086.fits,UCAC3296-11711,2602.002,1761.832
221106VIU_0086.fits,UCAC3296-11655,2751.496,1428.666
221106VIU_0086.fits,CGCS68,2942.436,1894.633
221106VIU_0087.fits,V1301Cas,1894.438,2164.844
221106VIU_0087.fits,UCAC3296-11711,2598.84,1763.999
221106VIU_0087.fits,UCAC3296-11655,2749.771,1435.627
221106VIU_0087.fits,CGCS68,2940.023,1897.65
221106VIU_0088.fits,V1301Cas,1890.094,2167.885
221106VIU_0088.fits,UCAC3296-11711,2594.013,1767.619
221106VIU_0088.fits,UCAC3296-11655,2743.527,1435.031
221106VIU_0088.fits,CGCS68,2935.278,1900.097
221106VIU_0089.fits,V1301Cas,1885.75,2171.36
221106VIU_0089.fits,UCAC3296-11711,2589.392,1771.428
221106VIU_0089.fits,UCAC3296-11655,2742.144,1440.164
221106VIU_0089.fits,CGCS68,2929.547,1904.32
221106VIU_0090.fits,V1301Cas,1882.709,2174.401
221106VIU_0090.fits,UCAC3296-11711,2587.883,1773.238
221106VIU_0090.fits,UCAC3296-11655,2737.598,1440.726
221106VIU_0090.fits,CGCS68,2927.295,1906.995
221106VIU_0091.fits,V1301Cas,1877.497,2179.614
221106VIU_0091.fits,UCAC3296-11711,2581.466,1776.754
221106VIU_0091.fits,UCAC3296-11655,2733.486,1445.885
221106VIU_0091.fits,CGCS68,2922.857,1908.115
221106VIU_0092.fits,V1301Cas,1871.415,2182.22
221106VIU_0092.fits,UCAC3296-11711,2575.391,1779.687
221106VIU_0092.fits,UCAC3296-11655,2726.589,1448.339
221106VIU_0092.fits,CGCS68,2916.277,1913.609
221106VIU_0093.fits,V1301Cas,1867.506,2185.261
221106VIU_0093.fits,UCAC3296-11711,2571.642,1783.441
221106VIU_0093.fits,UCAC3296-11655,2720.766,1452.779
221106VIU_0093.fits,CGCS68,2911.149,1917.229
221106VIU_0094.fits,V1301Cas,1862.467,2188.649
221106VIU_0094.fits,UCAC3296-11711,2565.609,1787.362
221106VIU_0094.fits,UCAC3296-11655,2717.36,1455.138
221106VIU_0094.fits,CGCS68,2906.236,1918.933
221106VIU_0095.fits,V1301Cas,1857.775,2190.734
221106VIU_0095.fits,UCAC3296-11711,2559.894,1788.385
221106VIU_0095.fits,UCAC3296-11655,2711.572,1457.791
221106VIU_0095.fits,CGCS68,2902.013,1920.14
221106VIU_0096.fits,V1301Cas,1854.126,2196.99
221106VIU_0096.fits,UCAC3296-11711,2556.626,1792.155
221106VIU_0096.fits,UCAC3296-11655,2706.547,1458.273
221106VIU_0096.fits,CGCS68,2891.865,1924.141
221106VIU_0097.fits,V1301Cas,1847.871,2197.511
221106VIU_0097.fits,UCAC3296-11711,2550.174,1795.426
221106VIU_0097.fits,UCAC3296-11655,2701.705,1464.416
221106VIU_0097.fits,CGCS68,2889.452,1929.571
221106VIU_0098.fits,V1301Cas,1841.095,2200.117
221106VIU_0098.fits,UCAC3296-11711,2543.136,1796.934
221106VIU_0098.fits,UCAC3296-11655,2693.847,1467.42
221106VIU_0098.fits,CGCS68,2885.172,1929.557
221106VIU_0099.fits,V1301Cas,1837.446,2202.723
221106VIU_0099.fits,UCAC3296-11711,2540.765,1798.387
221106VIU_0099.fits,UCAC3296-11655,2690.192,1467.34
221106VIU_0099.fits,CGCS68,2880.104,1932.091
221106VIU_0100.fits,V1301Cas,1830.669,2203.766
221106VIU_0100.fits,UCAC3296-11711,2533.887,1800.921
221106VIU_0100.fits,UCAC3296-11655,2685.824,1469.925
221106VIU_0100.fits,CGCS68,2876.004,1934.292
221106VIU_0101.fits,V1301Cas,1829.105,2206.894
221106VIU_0101.fits,UCAC3296-11711,2530.592,1803.561
221106VIU_0101.fits,UCAC3296-11655,2680.985,1473.152
221106VIU_0101.fits,CGCS68,2871.66,1938.636
221106VIU_0102.fits,V1301Cas,1823.371,2208.979
221106VIU_0102.fits,UCAC3296-11711,2526.61,1806.457
221106VIU_0102.fits,UCAC3296-11655,2676.617,1473.533
221106VIU_0102.fits,CGCS68,2866.448,1939.265
221106VIU_0103.fits,V1301Cas,1815.831,2210.109
221106VIU_0103.fits,UCAC3296-11711,2519.647,1806.031
221106VIU_0103.fits,UCAC3296-11655,2669.795,1476.006
221106VIU_0103.fits,CGCS68,2859.208,1940.472
